,grade,name,gu,dong,address_1,address_2,lat,lng
67,고등학교,휘문고등학교,강남구,대치동,서울특별시 강남구 대치동 952-1,서울특별시 강남구 역삼로 541,37.505133,127.0621203
68,고등학교,현대고등학교,강남구,압구정동,서울특별시 강남구 압구정동 425,서울특별시 강남구 압구정로 127,37.5251235,127.022643
69,고등학교,진선여자고등학교,강남구,역삼동,서울특별시 강남구 역삼동 713,서울특별시 강남구 선릉로85길 27,37.50170749999999,127.047566
70,고등학교,중앙대학교사범대학부속고등학교,강남구,도곡동,서울특별시 강남구 도곡동 산21,서울특별시 강남구 선릉로 207,37.4920256,127.0519949
71,고등학교,중산고등학교,강남구,일원동,서울특별시 강남구 일원동 714,서울특별시 강남구 일원로14길 22,37.4854681,127.0807228
72,고등학교,중동고등학교,강남구,일원동,서울특별시 강남구 일원동 618,서울특별시 강남구 일원로 7,37.4931224,127.0807538
73,고등학교,은광여자고등학교,강남구,도곡동,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36,37.4877477,127.0360047
74,고등학교,영동고등학교,강남구,청담동,서울특별시 강남구 청담동 23-4,서울특별시 강남구 선릉로 742,37.5205993,127.0422861
75,고등학교,숙명여자고등학교,강남구,도곡동,서울특별시 강남구 도곡동 91,서울특별시 강남구 남부순환로 2807,37.4910237,127.0530476
76,고등학교,서울세종고등학교,강남구,수서동,서울특별시 강남구 수서동 711,서울특별시 강남구 광평로51길 36,37.4900118,127.1026172
77,고등학교,단국대학교사범대학부속고등학교,강남구,대치동,서울특별시 강남구 대치동 1013,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
78,고등학교,청담고등학교,강남구,압구정동,서울특별시 강남구 압구정동 526,서울특별시 강남구 압구정로 419,37.5281729,127.0433932
79,고등학교,경기여자고등학교,강남구,개포동,서울특별시 강남구 개포동 152,서울특별시 강남구 삼성로 29,37.4867111,127.0659079
80,고등학교,경기고등학교,강남구,삼성동,서울특별시 강남구 삼성동 74-4,서울특별시 강남구 영동대로 643,37.5165547,127.0559215
81,고등학교,개포고등학교,강남구,개포동,서울특별시 강남구 개포동 173,서울특별시 강남구 개포로 402,37.484898,127.0591661
