,id,name,gu,dong,address,lat,lng,note
112,A03721,2,강남구,역삼,대한민국 서울특별시 강남구 테헤란로,37.500733530680826,127.03675217539498,지하철
113,A02637,양재SK허브프리모,강남구,도곡,대한민국 서울특별시 강남구 도곡1동,37.48528097578975,127.03433914482687,개방
114,A03160,주구1상가,강남구,압구,대한민국 서울특별시 강남구,37.53191517080983,127.0285801565332,개방
115,A03162,금강쇼핑센터,강남구,압구,대한민국 서울특별시 강남구 압구정동,37.529819573445245,127.0290126361132,개방
116,A02634,도곡푸르지오102동,강남구,도곡,대한민국 서울특별시 강남구 도곡1동,37.48797317294796,127.03319773966344,개방
117,A03952,학여울역,강남구,대치,대한민국 서울특별시 강남구 대치2동,37.49681306080088,127.07085129043004,지하철
118,A04005,개포현대2차상가,강남구,개포,대한민국 서울특별시 강남구 개포동,37.4825250397854,127.0513701708344,개방
119,A04007,개포시영상가,강남구,개포,대한민국 서울특별시 강남구 개포동,37.478493980052114,127.05413398702268,개방
120,A03936,압구정역,강남구,신사,대한민국 서울특별시 강남구 압구정로,37.52682699231664,127.0285223860864,지하철
121,A03989,한솔사옥,강남구,역삼,대한민국 서울특별시 강남구 테헤란로,37.49977374109442,127.03510994770323,개방
122,A03938,신사역,강남구,신사,대한민국 서울특별시 강남구 도산대로,37.51651057409264,127.02044328198804,지하철
123,A03987,한독약품빌딩,강남구,역삼,대한민국 서울특별시 강남구 테헤란로,37.499276543618905,127.03306998549446,개방
124,A03944,양재역,강남구,도곡,대한민국 서울특별시 강남구 도곡동,37.48460318807709,127.03407365425184,지하철
125,A03946,매봉역,강남구,도곡,대한민국 서울특별시 강남구 도곡2동,37.48703557121812,127.0469502127034,지하철
126,A03954,대청역,강남구,일원,대한민국 서울특별시 강남구 일원로,37.493491443318185,127.07962502641848,지하철
127,A03977,두산빌딩,강남구,논현,대한민국 서울특별시 강남구 논현2동,37.519312531582486,127.03524515787892,개방
128,A03956,일원역,강남구,일원,대한민국 서울특별시 강남구,37.48413523911045,127.084335732659,지하철
129,A04009,신동아상가,강남구,논현,대한민국 서울특별시 강남구,37.51475780699676,127.0226803815478,개방
130,A03958,수서역,강남구,수서,대한민국 서울특별시 강남구 광평로,37.48746313605307,127.1020308165051,지하철
131,A03985,디오빌역삼,강남구,역삼,대한민국 서울특별시 강남구 언주로,37.50150329727831,127.0428829980362,개방
132,A03983,송산빌딩,강남구,역삼,대한민국 서울특별시 강남구 봉은사로,37.50749436143398,127.0353381683496,개
133,A03949,대치역,강남구,대치,대한민국 서울특별시 강남구 삼성로,37.49468584352889,127.0638235681779,지하철
